id,booking_status_pred,Cancellation_prob
42100,0,0.039826576
42101,0,0.015327959
42102,0,0.3409248
42103,0,0.16872999
42104,1,0.66514146
42105,1,0.639243
42106,0,0.4633567
42107,1,0.72069556
42108,0,6.9219355e-09
42109,1,0.5303691
42110,1,0.7057391
42111,0,0.19062036
42112,0,0.44350764
42113,0,0.22373499
42114,0,0.22284894
42115,1,0.67627305
42116,0,0.024287818
42117,0,0.18045446
42118,1,0.915233
42119,1,0.9106863
42120,1,0.91614944
42121,0,0.20945135
42122,0,0.004226768
42123,1,0.76734835
42124,1,0.8916469
42125,0,0.0014679967
42126,0,2.82607e-30
42127,0,0.0030145238
42128,0,0.25049788
42129,1,0.6521411
42130,1,0.8483745
42131,0,0.26432914
42132,0,0.4616983
42133,1,0.9575486
42134,0,0.42673853
42135,0,9.158125e-15
42136,0,0.03338324
42137,1,0.5537655
42138,1,0.73532355
42139,1,0.836234
42140,0,0.00041515133
42141,0,0.16630334
42142,1,0.5259564
42143,1,0.8560169
42144,0,0.14030127
42145,1,0.85392636
42146,0,0.034014117
42147,1,0.85606515
42148,1,0.6412656
42149,0,0.47894254
42150,0,0.23961169
42151,1,0.7388943
42152,1,0.65368557
42153,0,0.099765405
42154,1,0.5562047
42155,0,0.43341398
42156,0,0.23438956
42157,0,0.0059416154
42158,0,0.2824477
42159,1,0.8036375
42160,1,0.56645674
42161,0,1.0432472e-06
42162,0,0.033712223
42163,0,0.036377084
42164,1,0.6805974
42165,0,0.44611952
42166,1,0.7447094
42167,0,6.160817e-10
42168,1,0.7719769
42169,1,0.7389805
42170,0,0.010362512
42171,0,0.3208052
42172,0,0.19375704
42173,1,0.85444987
42174,0,0.08796236
42175,0,0.2365845
42176,1,0.8822925
42177,0,0.19808544
42178,0,0.050768867
42179,1,0.9094109
42180,1,0.73022974
42181,1,0.6173922
42182,1,0.76396996
42183,0,0.40470955
42184,0,0.021540556
42185,0,0.12207744
42186,0,0.1690069
42187,0,0.44949055
42188,0,0.0044067753
42189,0,0.15155639
42190,0,0.12303177
42191,0,0.2629636
42192,0,0.24678856
42193,0,0.11665528
42194,0,0.28401637
42195,1,0.90329385
42196,1,0.7928653
42197,0,0.41711777
42198,1,0.7704483
42199,1,0.5784201
42200,1,0.53255635
42201,1,0.55984944
42202,0,0.40415484
42203,0,0.3322135
42204,1,0.78162336
42205,0,0.14789815
42206,0,0.0031248962
42207,1,0.67777735
42208,0,0.11151678
42209,0,0.26656625
42210,0,0.13542792
42211,0,0.19634348
42212,0,0.26236382
42213,1,0.878654
42214,1,0.70624524
42215,0,0.24500455
42216,1,0.8333431
42217,0,0.10476907
42218,0,0.012818842
42219,0,0.20162414
42220,0,0.37864035
42221,1,0.6506223
42222,1,0.5203693
42223,0,0.13142863
42224,1,0.93145865
42225,1,0.68316954
42226,1,0.9014394
42227,0,0.05791525
42228,1,0.7942299
42229,0,0.0931132
42230,0,0.2393049
42231,1,0.72215766
42232,1,0.826653
42233,0,0.15197398
42234,1,0.5599192
42235,0,0.10925309
42236,0,0.02961292
42237,1,0.80323845
42238,0,0.39353323
42239,0,0.27295905
42240,1,0.92641646
42241,1,0.6841076
42242,0,0.09163801
42243,1,0.9197228
42244,0,0.24464864
42245,1,0.65887755
42246,1,0.9411238
42247,1,0.7406295
42248,1,0.5375991
42249,1,0.8979783
42250,1,0.5132529
42251,0,0.21728614
42252,1,0.807481
42253,1,0.69568574
42254,0,0.069198266
42255,0,0.06589349
42256,1,0.690351
42257,1,0.725085
42258,0,0.39177042
42259,1,0.675932
42260,1,0.7171466
42261,1,0.8248775
42262,1,0.9013884
42263,1,0.93958914
42264,0,0.10700782
42265,1,0.794725
42266,0,0.014386386
42267,0,0.20932338
42268,1,0.703824
42269,0,0.05592655
42270,1,0.8410307
42271,1,0.7463875
42272,0,0.066746406
42273,0,0.09409977
42274,1,0.70844233
42275,0,0.41487998
42276,0,0.086414084
42277,0,0.06204521
42278,0,0.03760237
42279,0,0.2968969
42280,0,0.31213284
42281,0,0.005234313
42282,0,0.3241964
42283,0,0.14153329
42284,1,0.5668143
42285,0,0.03484057
42286,0,0.03971099
42287,1,0.70596915
42288,0,0.36569735
42289,1,0.78647643
42290,0,0.0107726
42291,1,0.85845256
42292,0,0.17984603
42293,1,0.79614824
42294,1,0.97036886
42295,0,0.08603832
42296,0,0.09078794
42297,0,0.23223613
42298,0,0.059879553
42299,1,0.8228091
42300,1,0.55109566
42301,0,0.19885184
42302,0,0.1361034
42303,0,0.28190202
42304,0,0.12719434
42305,0,0.24194019
42306,0,0.25336158
42307,0,0.049171276
42308,0,0.13286263
42309,0,0.31609246
42310,0,0.29867116
42311,1,0.68185884
42312,0,0.09706977
42313,1,0.7911899
42314,1,0.7125677
42315,0,0.18012515
42316,1,0.7134576
42317,0,0.28736246
42318,0,0.4971764
42319,0,0.02084755
42320,0,0.3761377
42321,0,0.35890183
42322,1,0.8881271
42323,0,0.008763807
42324,1,0.80595285
42325,0,0.05978443
42326,1,0.522792
42327,0,0.033958558
42328,0,0.07378647
42329,0,0.22087985
42330,1,0.7853345
42331,0,0.3215781
42332,0,0.30177894
42333,1,0.70812476
42334,0,0.009606812
42335,1,0.7705094
42336,0,0.07441328
42337,1,0.77807504
42338,0,0.35785794
42339,0,0.0014966335
42340,0,0.08655177
42341,1,0.6569684
42342,1,0.89958024
42343,0,0.43806604
42344,0,0.22722556
42345,0,0.018963723
42346,1,0.96492606
42347,1,0.8098724
42348,1,0.8426658
42349,0,0.04139631
42350,0,0.24975023
42351,0,0.0870144
42352,1,0.73537654
42353,1,0.82804865
42354,0,0.065635465
42355,0,0.15855221
42356,0,0.41375342
42357,0,0.00034496826
42358,1,0.85059875
42359,0,0.06662549
42360,1,0.61244524
42361,0,0.07331736
42362,1,0.7647249
42363,0,0.14825869
42364,0,0.36174342
42365,0,0.19759499
42366,0,0.21031192
42367,1,0.7610185
42368,1,0.51656675
42369,1,0.8704435
42370,0,0.27071175
42371,0,0.049763255
42372,0,0.21601775
42373,1,0.9132031
42374,1,0.561426
42375,0,0.48928833
42376,0,0.033987917
42377,1,0.92414004
42378,1,0.5609038
42379,0,0.12806615
42380,0,0.018135892
42381,0,0.41050547
42382,1,0.5586607
42383,1,0.9034725
42384,0,0.164521
42385,0,0.0016394594
42386,1,0.7889451
42387,1,0.7765709
42388,0,0.041069333
42389,0,0.004876568
42390,1,0.86912674
42391,0,0.08489182
42392,0,0.038372166
42393,0,0.09363939
42394,0,0.25187057
42395,1,0.55566514
42396,0,0.29838234
42397,1,0.9418759
42398,0,0.1287601
42399,1,0.79686636
42400,0,0.29954863
42401,0,0.16882545
42402,1,0.7916287
42403,1,0.55216753
